US State,Annual Mean Wage (All Occupations),Average Monthly Rent,Value of $100
Alabama,"$50,620 ","$1,055.00 ",$114.20 
Alaska,"$66,130 ","$1,507.00 ",$94.90 
Arizona,"$58,620 ","$1,613.00 ",$103.70 
Arkansas,"$48,570 ",$912.00 ,$115.30 
California,"$73,220 ","$2,032.00 ",$83.60 
Colorado,"$67,870 ","$1,633.00 ",$98.10 
Connecticut,"$69,310 ","$1,533.00 ",$95.00 
Delaware,"$62,260 ","$1,659.00 ",$100.60 
Florida,"$55,980 ","$1,779.00 ",$99.00 
Georgia,"$58,000 ","$1,365.00 ",$106.80 
Hawaii,"$61,420 ","$2,312.00 ",$80.70 
Idaho,"$51,350 ","$1,169.00 ",$107.80 
Illinois,"$63,930 ","$1,151.00 ",$102.60 
Indiana,"$53,500 ","$1,031.00 ",$111.30 
Iowa,"$53,520 ",$903.00 ,$111.00 
Kansas,"$52,850 ","$1,002.00 ",$110.80 
Kentucky,"$51,490 ",$974.00 ,$112.60 
Louisiana,"$50,940 ","$1,003.00 ",$112.10 
Maine,"$55,960 ",,$100.70 
Maryland,"$69,750 ","$1,703.00 ",$92.30 
Massachusetts,"$76,600 ","$1,762.00 ",$89.60 
Michigan,"$58,000 ","$1,093.00 ",$107.70 
Minnesota,"$63,640 ","$1,102.00 ",$102.00 
Mississippi,"$45,180 ","$1,016.00 ",$115.60 
Missouri,"$54,520 ","$1,011.00 ",$111.30 
Montana,"$52,220 ",,$106.50 
Nebraska,"$55,070 ","$1,023.00 ",$110.50 
Nevada,"$55,490 ","$1,610.00 ",$102.60 
New Hampshire,"$62,550 ","$1,502.00 ",$93.50 
New Jersey,"$70,890 ","$1,783.00 ",$84.00 
New Mexico,"$54,400 ","$1,152.00 ",$108.90 
New York,"$74,870 ","$1,695.00 ",$83.70 
North Carolina,"$56,220 ","$1,234.00 ",$108.30 
North Dakota,"$55,800 ",$831.00 ,$110.70 
Ohio,"$56,530 ",$988.00 ,$111.60 
Oklahoma,"$50,940 ","$1,006.00 ",$112.80 
Oregon,"$62,680 ","$1,364.00 ",$97.80 
Pennsylvania,"$58,470 ","$1,135.00 ",$103.00 
Rhode Island,"$64,530 ","$1,416.00 ",$98.70 
South Carolina,"$50,650 ","$1,228.00 ",$108.50 
South Dakota,"$49,890 ",$959.00 ,$112.20 
Tennessee,"$52,820 ","$1,210.00 ",$110.30 
Texas,"$57,300 ","$1,278.00 ",$103.50 
Utah,"$57,360 ","$1,461.00 ",$103.50 
Vermont,"$59,190 ",,$96.90 
Virginia,"$65,590 ","$1,510.00 ",$98.70 
Washington,"$72,350 ","$1,694.00 ",$91.60 
West Virginia,"$49,170 ",,$112.90 
Wisconsin,"$56,120 ","$1,052.00 ",$108.10 
Wyoming,"$54,440 ",$960.00 ,$107.20 